,Club,Last Name,First Name,Pos,Base Salary,Guaranteed Compensation,Year
943,KC,Hirsig,Santiago,M,"$        75,000.00","$             75,000.00",2009
944,KC,Hohlbein,Aaron,D,"$        34,650.00","$             34,650.00",2009
945,HOU,Holden,Stuart,M,"$        34,728.75","$             34,728.75",2009
946,COL,Holody,Michael,D,"$        20,100.00","$             20,100.00",2009
947,RSL,Horst,David,D,"$        34,000.00","$             34,000.00",2009
948,SJ,Huckerby,Darren,F,"$      360,000.00","$           385,000.00",2009
949,SEA,Hurtado,John Kennedy,D,"$        36,000.00","$             37,000.00",2009
950,CHI,Husidic,Baggio,M,"$        55,000.00","$             97,000.00",2009
951,SEA,Ianni,Patrick,D,"$        72,000.00","$             72,000.00",2009
952,TFC,Ibrahim,Fuad,F,"$        75,000.00","$           108,000.00",2009
953,NE,Igwe,Amaechi,D,"$        75,000.00","$           108,000.00",2009
954,DAL,Ihemelu,Ugo,D,"$      140,000.00","$           140,000.00",2009
955,CLB,Iro,Andy,D,"$        45,100.00","$             62,600.00",2009
956,DC,Jacobson,Andrew,M,"$        34,000.00","$             34,000.00",2009
957,DC,Jakovic,Dejan,D,"$        90,000.00","$           108,812.50",2009
958,DC,James,Julius,D,"$        42,350.00","$             51,100.00",2009
959,DC,Janicki,Greg,D,"$        34,000.00","$             34,000.00",2009
960,NE,Jankauskas,Edgaras,F,"$      240,000.00","$           240,000.00",2009
961,SEA,Jaqua,Nate,F,"$      189,996.00","$           208,121.00",2009
962,CHV,Jazic,Ante,D,"$        90,000.00","$             98,500.00",2009
963,KC,Jewsbury,Jack,D,"$      130,000.00","$           139,125.00",2009
964,DC,John,Avery,D,"$        60,000.00","$             63,625.00",2009
965,DAL,John,George,D,"$        34,008.00","$             34,008.00",2009
966,RSL,Johnson,Will,F,"$        51,200.00","$             64,771.43",2009
967,SJ,Johnson,Ryan,M,"$        70,000.00","$             70,000.00",2009
968,NY,Johnson,Carlos,D,"$        90,000.00","$           110,750.00",2009
969,LA,Jordan,Bryan,F,"$        34,000.00","$             34,000.00",2009
970,NE,Joseph,Shalrie,M,"$      425,000.00","$           450,000.00",2009
971,KC,Kamara,Kei,F,"$        55,385.00","$             65,385.00",2009
972,NY,Kandji,Macoumba,F,"$        70,000.00","$             90,988.37",2009
973,SEA,Keller,Kasey,GK,"$      300,000.00","$           300,000.00",2009
974,CHV,Kennedy,Dan,GK,"$        50,000.00","$             50,000.00",2009
975,DC,Khumalo,Thabiso,M-F,"$        34,650.00","$             34,650.00",2009
976,COL,Kimura,Kosuke,D,"$        52,500.00","$             52,500.00",2009
977,SEA,King,Stephen,M,"$        34,000.00","$             34,000.00",2009
978,LA,Kirovski,Jovan,F,"$        80,000.00","$             80,000.00",2009
979,LA,Klein,Chris,D,"$      175,000.00","$           175,000.00",2009
980,CHV,Kljestan,Sacha,M,"$      170,000.00","$           203,000.00",2009
981,NE,Knighton,Brad,GK,"$        34,000.00","$             34,000.00",2009
982,DC,Kocic,Milos,GK,"$        20,100.00","$             20,100.00",2009
983,LA,Kovalenko,Dema,M,"$      130,000.00","$           137,618.75",2009
984,KC,Kraus,Michael,M-F,"$        34,000.00","$             34,000.00",2009
985,KC,Kronberg,Eric,GK,"$        34,650.00","$             34,650.00",2009
986,NY,Krupnik,Leonid,D,"$      144,000.00","$           144,000.00",2009
987,COL,LaBrocca,Nick,M,"$        70,000.00","$             72,500.00",2009
988,CHV,Lahoud,Michael,M,"$        36,000.00","$             45,375.00",2009
989,DAL,Lambo,Josh,GK,"$        70,000.00","$           103,000.00",2009
990,HOU,Landin,Luis Angel,F,"$      120,000.00","$           120,000.00",2009
991,NE,Larentowicz,Jeff,M,"$        34,650.00","$             34,650.00",2009
992,SEA,Le Toux,Sebastian,M,"$      100,000.00","$           112,000.00",2009
993,KC,Leathers,Jonathan,D,"$        34,000.00","$             34,000.00",2009
994,SJ,Leitch,Chris,D,"$        87,000.00","$             87,000.00",2009
995,CLB,Lenhart,Steven,F,"$        34,000.00","$             36,333.34",2009
996,SEA,Levesque,Roger,F,"$        40,008.00","$             40,008.00",2009
997,LA,Lewis,Eddie,M,"$      160,008.00","$           165,722.29",2009
998,DAL,Leyva,Bryan,M,"$        45,000.00","$             75,833.32",2009
999,CHV,Lillingston,Eduardo,F,"$        96,000.00","$             96,000.00",2009
1000,SEA,Ljungberg,Fredrik,M,"$   1,300,000.00","$        1,314,000.00",2009
1001,KC,Lopez,Claudio,F,"$      180,000.00","$           180,000.00",2009
1002,CHI,Lowry,Peter,F-M,"$        20,100.00","$             20,100.00",2009
1003,SJ,Luiz Moreira,Andre,M,"$        36,000.00","$             36,000.00",2009
1004,LA,Magee,Mike,F,"$        70,000.00","$             72,500.00",2009
1005,NE,Mansally,Abdoulie,F-M,"$        34,650.00","$             34,650.00",2009
1006,CHI,Mapp,Justin,M,"$      220,000.00","$           255,000.00",2009
1007,DAL,Marosevic,Peri,F,"$        55,000.00","$           104,000.00",2009
1008,KC,Marquess,Matt,D,"$        20,100.00","$             20,100.00",2009
1009,CHV,Marsch,Jesse,M,"$      165,000.00","$           174,375.00",2009
1010,LA,Marshall,Yohance,D,"$        20,100.00","$             20,100.00",2009
1011,SEA,Marshall,Tyrone,D,"$      157,500.00","$           161,250.00",2009
1012,CLB,Marshall,Chad,D,"$      250,000.00","$           320,000.00",2009
1013,COL,Mastroeni,Pablo,M-D,"$      255,000.00","$           300,500.00",2009
1014,RSL,Mathis,Clint,M,"$      115,000.00","$           115,000.00",2009
1015,CHV,Mayen,Gerson,M,"$        20,100.00","$             20,100.00",2009
1016,NY,M'Buta,Matthew,M,"$        20,100.00","$             20,100.00",2009
1017,CHI,McBride,Brian,F,"$      360,000.00","$           385,333.33",2009
1018,DAL,McCarty,Dax,M,"$        55,605.00","$             68,105.00",2009
1019,SJ,McDonald,Brandon,M,"$        20,100.00","$             20,100.00",2009
1020,KC,McKenzie,Rauwshan,D,"$        34,008.00","$             34,008.00",2009
1021,DC,McTavish,Devon,D-M,"$        50,000.00","$             52,500.00",2009
1022,NY,Mendes,Carlos,D,"$        85,000.00","$             88,125.00",2009
1023,LA,Miglioranzi,Stefani,M,"$        69,999.96","$             79,499.96",2009
1024,CLB,Moffat,Adam,M,"$        48,000.00","$             48,000.00",2009
1025,SEA,Montero,Fredy,F,"$      155,000.00","$           155,000.00",2009
1026,COL,Moor,Drew,D,"$      132,000.00","$           149,188.89",2009
1027,RSL,Morales,Javier,M,"$      150,000.00","$           200,000.00",2009
1028,CLB,Moreno,Alejandro,F,"$      132,300.00","$           137,300.00",2009
1029,DC,Moreno,Jaime,F,"$      350,000.00","$           355,000.00",2009
1030,KC,Morsink,Kurt,M,"$        34,650.00","$             34,650.00",2009
1031,RSL,Movsisyan,Yura,F,"$        60,582.50","$             70,582.50",2009
1032,HOU,Mullan,Brian,M,"$      171,000.00","$           180,312.50",2009
1033,HOU,Mulrooney,Richard,M,"$      165,375.00","$           165,375.00",2009
1034,KC,Myers,Chance,D-M,"$        70,000.00","$           130,000.00",2009
1035,CHI,Myrie,Dave,D,"$        34,000.00","$             34,000.00",2009
1036,CHV,Nagamura,Paulo,M,"$        98,398.13","$             98,398.13",2009
1037,DC,Namoff,Bryan,D,"$      100,000.00","$           105,000.00",2009
1038,SEA,Neagle,Lamar,M,"$        15,300.00","$             15,300.00",2009
1039,RSL,Nimo,Alex,F-M,"$        70,000.00","$           103,000.00",2009
1040,COL,Noonan,Pat,F,"$      175,008.00","$           175,008.00",2009
1041,DC,N'Silu,Ange,F,"$        65,004.00","$             76,254.00",2009
1042,RSL,Nunez,Tino,M,"$        20,100.00","$             20,100.00",2009
1043,CHI,Nyarko,Patrick,F,"$        80,000.00","$           160,000.00",2009
1044,SEA,Nyassi,Sanna,M,"$        20,100.00","$             20,100.00",2009
1045,NE,Nyassi,Sainey,M,"$        34,650.00","$             34,650.00",2009
1046,CLB,Nyazamba,Stanley,F,"$        34,000.00","$             34,000.00",2009
1047,COL,O'Brien,Ciaran,M,"$        70,000.00","$           103,750.00",2009
1048,HOU,Oduro,Dominic,F,"$        34,650.00","$             34,650.00",2009
1049,NY,Oebster,Ernst,M,"$        36,000.00","$             36,000.00",2009
1050,RSL,Olave,Jamison,D,"$      157,500.00","$           172,500.00",2009
1051,DC,Olsen,Ben,M,"$      225,000.00","$           225,000.00",2009
1052,NE,Ombiogno,Stephane,F,"$        35,652.00","$             43,777.00",2009
1053,HOU,Onstad,Pat,GK,"$      181,650.00","$           181,650.00",2009
1054,CLB,O'Rourke,Danny,D,"$        90,000.00","$           102,500.00",2009
1055,NE,Osei,Emmanuel,D,"$        45,000.00","$             50,625.00",2009
1056,CLB,Oughton,Duncan,D,"$        42,492.00","$             42,492.00",2009
1057,CHV,Padilla,Jesus Andres,F,"$        36,000.00","$             36,000.00",2009
1058,CLB,Padula,Gino,D,"$      150,000.00","$           175,000.00",2009
1059,COL,Palguta,Scott,D,"$        54,999.96","$             54,999.96",2009
1060,CHI,Pappa,Marco,M,"$        42,000.00","$             42,000.00",2009
1061,KC,Pardo,Boris,GK,"$        20,100.00","$             20,100.00",2009
1062,CHV,Parker,Lance,GK,"$        20,100.00","$             20,100.00",2009
1063,LA,Patterson,Kyle,M,"$        20,100.00","$             20,100.00",2009
1064,CHI,Pause,Logan,M,"$      145,000.00","$           153,125.00",2009
1065,DAL,Pearce,Heath,D,"$        48,000.00","$             57,500.00",2009
1066,COL,Peterson,Jacob,F,"$      100,000.00","$           118,750.00",2009
1067,NY,Petke,Mike,D,"$        80,000.04","$             80,000.04",2009
1068,NE,Phelan,Pat,M,"$        34,650.00","$             34,650.00",2009
1069,COL,Pickens,Matt,GK,"$      125,000.00","$           127,500.00",2009
1070,SJ,Pitchkolan,Aaron,D,"$        50,000.00","$             51,250.00",2009
1071,DC,Pontius,Chris,M-F,"$        36,000.00","$             66,000.00",2009
1072,CHI,Prideaux,Brandon,D,"$        75,600.00","$             75,600.00",2009
1073,DAL,Purdy,Steven,D,"$        40,000.00","$             40,000.00",2009
1074,DC,Quaranta,Santino,M-F,"$        70,000.00","$             72,500.00",2009
1075,NE,Ralston,Steve,F-M,"$      150,000.00","$           150,000.00",2009
1076,CHV,Razov,Ante,F,"$      140,000.00","$           147,750.00",2009
1077,NE,Reis,Matt,GK,"$      173,343.75","$           173,343.75",2009
1078,CLB,Renteria,Emilio,F,"$        90,000.00","$             91,875.00",2009
1079,RSL,Reynish,Kyle,GK,"$        34,000.00","$             34,000.00",2009
1080,SJ,Ribeiro,Antonio,M,"$        51,000.00","$             51,000.00",2009
1081,DAL,Ricchetti,Pablo,M,"$      145,200.00","$           151,825.00",2009
1082,NY,Richards,Dane,M-F,"$      125,000.00","$           136,500.00",2009
1083,LA,Ricketts,Donovan,GK,"$      150,000.00","$           150,000.00",2009
1084,SEA,Riley,James,D,"$        69,000.00","$             72,625.00",2009
1085,RSL,Rimando,Nick,GK,"$      105,000.00","$           116,000.00",2009
1086,SJ,Roberts,Jamil,D,"$        20,100.00","$             20,100.00",2009
1087,CHI,Robinson,Dasan,D,"$        46,856.25","$             46,856.25",2009
1088,HOU,Robinson,Eddie,D,"$      137,812.50","$           137,812.50",2009
1089,TFC,Robinson,Carl,M,"$      300,000.00","$           315,000.00",2009
1090,DAL,Rocha,Andre,M,"$      140,000.00","$           140,000.00",2009
1091,CLB,Rogers,Robbie,M-F,"$        92,500.00","$             92,500.00",2009
1092,NY,Rojas,Jorge,M,"$      120,000.00","$           130,000.00",2009
1093,CHI,Rolfe,Chris,F,"$        95,550.00","$           100,250.00",2009
1094,Pool,Rueckner,Bryant,GK,"$        34,000.00","$             34,000.00",2009
1095,RSL,Russell,Robbie,D-M,"$        97,583.50","$           103,334.93",2009
1096,DAL,Sala,Dario,GK,"$      140,000.00","$           158,125.00",2009
1097,SJ,Salinas,Shea,M,"$        36,300.00","$             36,300.00",2009
1098,SJ,Sanchez,Ramon,M,"$        72,000.00","$             82,050.00",2009
1099,LA,Sanneh,Tony,D,"$        84,000.00","$             85,250.00",2009
1100,CHV,Santos,Maicon,F,"$        84,000.00","$             84,000.00",2009
1101,CHV,Saragosa,Marcelo,D-M,"$      120,000.00","$           124,285.71",2009
1102,NY,Sassano,Luke,M-D,"$        34,000.00","$             34,000.00",2009
1103,LA,Saunders,Josh,GK,"$        41,340.00","$             44,473.75",2009
1104,TFC,Sayang,Amadou,D,"$        34,008.00","$             40,563.55",2009
1105,CLB,Schelotto,Guillermo Barros,F-M,"$      650,000.00","$           775,000.00",2009
1106,CLB,Schoeni,Kenny,GK,"$        34,000.00","$             34,000.00",2009
1107,COL,Schunk,Ross,F,"$        20,100.00","$             20,100.00",2009
1108,SEA,Scott,Zach,D,"$        40,008.00","$             40,008.00",2009
1109,CHI,Segares,Gonzalo,D,"$        61,519.50","$             64,019.50",2009
1110,RSL,Seitz,Chris,GK,"$        75,000.00","$           110,500.00",2009
1111,TFC,Serioux,Adrian,D,"$      119,070.00","$           131,570.00",2009
1112,LA,Sesay,Israel,F,"$        70,000.00","$           102,083.33",2009
1113,Pool,Sharpe,Christopher,GK,"$        34,000.00","$             34,000.00",2009
1114,DAL,Shea,Brek,M-D,"$        70,000.00","$           103,000.00",2009
1115,DC,Shipalane,Tiyiselani,M,"$        15,300.00","$             16,300.00",2009
1116,NE,Shuttleworth,Robert,GK,"$        20,100.00","$             20,100.00",2009
1117,DC,Simms,Clyde,M,"$      150,000.00","$           156,000.00",2009
1118,COL,Smith,Jamie,M,"$      159,600.00","$           169,600.00",2009
1119,KC,Souter,Kevin,M,"$        34,000.00","$             34,000.00",2009
1120,NY,Stammler,Seth,M,"$      118,000.00","$           118,000.00",2009
1121,CHV,Stepanovic,Bojan,M,"$      120,000.00","$           121,750.00",2009
1122,SEA,Sturgis,Nathan,M,"$      100,000.00","$           133,000.00",2009
1123,CHV,Suarez,Claudio,D,"$        75,000.00","$             75,000.00",2009
1124,DC,Szetela,Danny,M,"$        90,000.00","$             90,000.00",2009
1125,CHV,Talley,Carey,D,"$      128,256.00","$           128,256.00",2009
1126,CHV,Thomas,Shavar,D,"$      104,500.00","$           108,250.00",2009
1127,NE,Thompson,Wells,M,"$        34,650.00","$             34,650.00",2009
1128,HOU,Thompson,Abe,F,"$        60,000.00","$             63,625.00",2009
1129,CHV,Thornton,Zach,GK,"$        52,500.00","$             55,000.00",2009
1130,CHI,Thorrington,John,M,"$        63,000.00","$             64,875.00",2009
1131,NE,Tierney,Chris,D-M,"$        34,000.00","$             34,000.00",2009
1132,DAL,Torres,Daniel,D,"$      100,000.00","$           110,000.00",2009
1133,CHV,Trujillo,Mariano,M,"$        90,000.00","$             90,000.00",2009
1134,NE,Twellman,Taylor,F,"$      395,000.00","$           420,000.00",2009
1135,NY,Ubiparipovic,Sinisa,M,"$        34,650.00","$             34,650.00",2009
1136,HOU,Ustruck,Erik,F,"$        20,100.00","$             20,100.00",2009
1137,SEA,Vagenas,Peter,M,"$      158,400.00","$           158,400.00",2009
1138,LA,Valentin,Julian,D,"$        36,000.00","$             36,000.00",2009
1139,COL,Valentino,Rob,D,"$        39,600.00","$             57,100.00",2009
1140,DAL,Van Den Bergh,Dave,M,"$      210,000.00","$           227,000.00",2009
1141,DC,Vaughn,Lawson,D,"$        34,650.00","$             34,650.00",2009
1142,CHV,Victorine,Sasha,M,"$      125,000.00","$           135,000.00",2009
1143,NE,Videira,Michael,M,"$        34,000.00","$             34,000.00",2009
1144,TFC,Vitti,Pablo,M-F,"$      288,000.00","$           303,000.00",2009
1145,DAL,Wagner,Blake,D,"$        50,930.00","$             63,430.00",2009
1146,SEA,Wahl,Tyson,D,"$        34,650.00","$             34,650.00",2009
1147,HOU,Waibel,Craig,D,"$        77,008.80","$             77,008.80",2009
1148,DC,Wallace,Rodney,M-D,"$        55,000.00","$           104,000.00",2009
1149,DAL,Wallace,Anthony,D-M,"$        75,000.00","$           108,000.00",2009
1150,CHI,Ward,Tim,D,"$        45,000.00","$             45,000.00",2009
1151,CHI,Washington,Austin,D,"$        20,100.00","$             20,100.00",2009
1152,KC,Watson,Lance,M,"$        34,000.00","$             34,000.00",2009
1153,HOU,Weaver,Cam,F,"$        64,980.00","$             73,230.00",2009
1154,SJ,Weber,Andrew,GK,"$        37,500.00","$             37,500.00",2009
1155,TFC,White,O'Brian,F,"$        36,000.00","$           113,000.00",2009
1156,DC,Wicks,Josh,GK,"$        42,000.00","$             42,000.00",2009
1157,RSL,Williams,Andy,M,"$        84,000.00","$             84,000.00",2009
1158,RSL,Wingert,Chris,D,"$      105,000.00","$           105,000.00",2009
1159,KC,Wolff,Josh,F,"$      200,004.00","$           200,004.00",2009
1160,NY,Wolyniec,John,F,"$        80,000.00","$             80,000.00",2009
1161,SJ,Wondolowski,Chris,M,"$        34,650.00","$             34,650.00",2009
1162,CHI,Woolard,Daniel,D,"$        34,000.00","$             34,000.00",2009
1163,TFC,Wynne,Marvell,D,"$        57,000.00","$           159,500.00",2009
1164,SJ,Zaher,Michael,D,"$        20,100.00","$             20,100.00",2009
1165,SEA,Zakuani,Steve,F,"$        65,000.00","$           163,000.00",2009
1166,CHV,Zamora,Cesar,M,"$        20,100.00","$             20,100.00",2009
1167,CLB,Zayner,Jed,D,"$        39,930.00","$             47,430.00",2009
1168,NY,Zimmerman,Nick,D,"$        20,100.00","$             20,100.00",2009
1169,KC,Zusi,Graham,F-M,"$        34,008.00","$             34,008.00",2009
1170,NY,Agudelo,Juan,F,"$        40,000.00","$             70,000.00",2010
1171,KC,Aiyegbusi,Olukorede,D,"$        40,000.00","$             40,000.00",2010
1172,COL,Akpan,Andre,F,"$        40,000.00","$             65,000.00",2010
1173,NY,Albright,Chris,D,"$        84,000.00","$             84,000.00",2010
1174,DAL,Alexander,Eric,M,"$        40,000.00","$             40,000.00",2010
1175,RSL,Alexandre,Jean,M,"$        40,000.00","$             40,000.00",2010
1176,DC,Allsopp,Danny,F,"$      180,000.00","$           217,500.00",2010
1177,SEA,Alonso,Osvaldo,M,"$        67,925.00","$             68,737.50",2010
1178,NE,Alston,Kevin,D,"$        75,000.00","$           124,000.00",2010
1179,SJ,Alvarez,Arturo,M-F,"$      183,338.00","$           192,675.50",2010
1180,COL,Amarikwa,Quincy,F,"$        40,000.00","$             40,000.00",2010
1181,NY,Angel,Juan Pablo,F,"$   1,620,000.00","$        1,918,000.00",2010
1182,HOU,Appiah,Samuel,M,"$        40,000.00","$             40,000.00",2010
1183,KC,Arnaud,Davy,M,"$      220,000.00","$           228,750.00",2010
1184,PHI,Arrieta,Christian,D,"$        60,000.00","$             64,500.00",2010
1185,HOU,Ashe,Corey,M,"$        40,000.00","$             40,000.00",2010
1186,TFC,Attakora-Gyan,Nana,D,"$        40,000.00","$             40,000.00",2010
1187,KC,Auvray,Stephane,M,"$      140,000.00","$           148,125.00",2010
1188,DAL,Avila,Eric,M,"$        75,000.00","$           108,000.00",2010
1189,COL,Ballouchy,Mehdi,M,"$        88,800.00","$             88,800.00",2010
1190,CHI,Banner,Michael,D,"$        40,000.00","$             40,000.00",2010
1191,DC,Barklage,Brandon,M-F,"$        40,000.00","$             40,000.00",2010
1192,NE,Barnes,Darrius,D,"$        55,000.00","$             56,250.00",2010
1193,TFC,Barrett,Chad,F,"$      205,000.00","$           212,500.00",2010
1194,CLB,Barros Schelotto,Guillermo,M-F,"$      140,000.00","$           241,250.00",2010
1195,COL,Baudet,Julien,D,"$      168,000.00","$           181,750.00",2010
1196,KC,Beasley,Jamar,M,"$        40,000.00","$             40,000.00",2010
1197,RSL,Beckerman,Kyle,M,"$      250,000.00","$           250,000.00",2010
1198,LA,Beckham,David,M,"$   5,500,000.08","$        6,500,000.04",2010
1199,SJ,Beitashour,Steven,D,"$        40,000.00","$             40,000.00",2010
1200,RSL,Beltran,Anthony,D,"$        75,000.00","$           110,500.00",2010
1201,DAL,Benitez,Jair,D,"$        42,000.00","$             63,250.00",2010
1202,LA,Berhalter,Gregg,D,"$      180,000.00","$           198,750.00",2010
1203,KC,Besler,Matt,D,"$        50,600.00","$             61,850.00",2010
1204,LA,Birchall,Chris,M,"$      132,000.00","$           145,125.00",2010
1205,NE,Boggs,Zak,F-M,"$        40,000.00","$             40,000.00",2010
1206,CHI,Bone,Corben,M,"$        75,000.00","$           136,200.00",2010
1207,RSL,Borchers,Nat,D,"$      140,000.00","$           147,500.00",2010
1208,CHV,Borja,Carlos,M,"$        40,000.00","$             40,000.00",2010
1209,NY,Borman,Danleigh,M,"$        40,000.00","$             40,000.00",2010
1210,CHV,Bornstein,Jonathan,D,"$      100,000.00","$           100,000.00",2010
1211,DC,Boskovic,Branko,M,"$      380,000.00","$           516,200.00",2010
1212,SEA,Boss,Terry,GK,"$        40,000.00","$             42,500.00",2010
1213,HOU,Boswell,Robert,D,"$      190,000.00","$           190,000.00",2010
1214,LA,Bowen,Tristan,F,"$        70,000.00","$           101,363.63",2010
1215,NY,Boyens,Andrew,D,"$        57,005.00","$             62,005.00",2010
1216,CHV,Braun,Justin,F,"$        65,000.00","$             67,500.00",2010
1217,CHI,Brown,C.J.,D,"$        95,760.00","$           100,560.00",2010
1218,CLB,Brunner,Eric,D,"$        40,000.00","$             40,000.00",2010
1219,LA,Buddle,Edson,F,"$      178,448.00","$           188,448.00",2010
1220,KC,Bunbury,Teal,F,"$        65,000.00","$           163,000.00",2010
1221,DC,Burch,Marc,D,"$        79,000.00","$             81,500.00",2010
1222,SJ,Burling,Bobby,D,"$        40,000.00","$             40,000.00",2010
1223,CLB,Burns,Kevin,M,"$        40,000.00","$             40,000.00",2010
1224,NE,Burpo,Preston,GK,"$        70,000.00","$             70,000.00",2010
1225,SJ,Busch,Jon,GK,"$        84,000.00","$             90,800.00",2010
1226,PHI,Califf,Daniel,D,"$      250,000.00","$           250,000.00",2010
1227,HOU,Cameron,Geoff,M,"$        40,000.00","$             40,000.00",2010
1228,RSL,Campos,Pablo,F,"$        78,750.00","$             83,596.72",2010
1229,TFC,Cann,Adrian,D,"$        56,592.00","$             65,342.00",2010
1230,SJ,Cannon,Joe,GK,"$      190,000.00","$           200,256.25",2010
1231,CHI,Carr,Calen,F,"$        71,250.00","$             75,500.00",2010
1232,PHI,Carreiro,Fred,M-F,"$      250,000.00","$           282,000.00",2010
1233,CLB,Carroll,Brian,M,"$      140,569.00","$           144,319.00",2010
1234,COL,Casey,Conor,F,"$      350,000.00","$           350,000.00",2010
1235,CHI,Castillo,Nery,M-F,"$   1,400,004.00","$        1,788,060.50",2010
1236,COL,Ceus,Steward,GK,"$        40,000.00","$             40,000.00",2010
1237,HOU,Chabala,Michael,M,"$        40,000.00","$             40,000.00",2010
1238,DAL,Chavez,Marvin,M,"$        60,000.00","$             70,000.00",2010
1239,KC,Chhetri,Sunil,F,"$      100,008.00","$           110,008.00",2010
1240,CHV,Chijindu,Chukwudi,M,"$        40,000.00","$             40,000.00",2010
1241,HOU,Ching,Brian,F,"$      350,000.00","$           350,000.00",2010
1242,NY,Chinn,Conor,F,"$        40,000.00","$             40,000.00",2010
1243,NY,Chirgadze,Giorgi,F,"$        40,000.00","$             40,000.00",2010
1244,COL,Clark,Colin,M,"$        89,250.00","$             94,250.00",2010
1245,HOU,Cochrane,Ryan,D,"$      100,000.00","$           100,000.00",2010
1246,NE,Colaluca,Nico,M,"$      100,000.00","$           133,000.00",2010
1247,CHI,Conde,Wilman,D,"$      180,000.00","$           200,000.00",2010
1248,KC,Conrad,Jimmy,D,"$      232,750.00","$           244,000.00",2010
1249,SJ,Convey,Bobby,M,"$      285,000.00","$           307,500.00",2010
1250,TFC,Conway,Jon,GK,"$        60,000.00","$             69,833.33",2010
1251,SJ,Corrales,Ramiro,M,"$      150,000.00","$           160,625.00",2010
1252,PHI,Coudet,Eduardo,M,"$      180,000.00","$           185,000.00",2010
1253,NY,Coundoul,Bouna,GK,"$      155,000.00","$           156,250.00",2010
1254,DC,Cristman,Adam,F,"$        40,000.00","$             40,000.00",2010
1255,SJ,Cronin,Sam,M,"$        57,500.00","$           105,500.00",2010
1256,HOU,Cruz,Danny,M,"$        75,000.00","$           118,000.00",2010
1257,CHV,Cuesta,Yamin,D,"$        42,000.00","$             44,500.00",2010
1258,COL,Cummings,Omar,F,"$        71,500.00","$             80,250.00",2010
1259,DAL,Cunningham,Jeffrey,F,"$      220,000.00","$           230,125.00",2010
1260,NY,Da Luz,Austin,M,"$        40,000.00","$             52,125.00",2010
1261,SJ,Da Silva,Eduardo,F,"$        48,000.00","$             48,000.00",2010
1262,DAL,Davies,Kyle,D,"$        57,500.00","$             57,500.00",2010
1263,HOU,Davis,Brad,M,"$      215,000.04","$           258,062.54",2010
1264,TFC,de Guzman,Julian,M,"$   1,670,796.00","$        1,717,546.00",2010
1265,LA,DeLaGarza,AJ,D,"$        45,100.00","$             45,100.00",2010
1266,CHV,Delgado,Dario,D,"$        42,000.00","$             42,000.00",2010
1267,HOU,Deric,Tyler,GK,"$        40,000.00","$             40,000.00",2010
1268,TFC,DeRosario,Dwayne,M,"$      375,000.00","$           443,750.00",2010
1269,CHI,Dimitrov,Stefan,F,"$        40,000.00","$             40,000.00",2010
1270,KC,Diop,Ibrahim,M,"$        57,000.00","$             58,250.00",2010
1271,LA,Donovan,Landon,F,"$   2,050,000.00","$        2,127,777.78",2010
1272,LA,Dos Santos Cazumba,Alex,D,"$        70,000.00","$             80,000.00",2010
1273,NE,Dube,Mkhokheli,F,"$        80,000.00","$             89,000.00",2010
1274,CLB,Duka,Dilaver,M,"$        80,000.00","$           213,000.00",2010
1275,LA,Dunivant,Todd,D,"$      120,000.00","$           126,750.00",2010
1276,CHI,Dykstra,Andrew,GK,"$        40,000.00","$             40,000.00",2010
1277,COL,Earls,Danny,D-M,"$        40,000.00","$             41,250.00",2010
1278,DAL,Edward,Edson,D,"$        40,000.00","$             40,000.00",2010
1279,CLB,Ekpo,Emmanuel,M,"$      155,000.00","$           177,250.00",2010
1280,RSL,Espindola,Fabian,F,"$        75,000.00","$             75,000.00",2010
1281,CHV,Espinoza,Rodolfo,M,"$      216,000.00","$           218,500.00",2010
1282,KC,Espinoza,Roger,M,"$        75,000.00","$           108,750.00",2010
1283,SEA,Estrada,David,F,"$        40,000.00","$             40,000.00",2010
1284,SEA,Evans,Brad,F,"$      110,000.00","$           123,750.00",2010
1285,SEA,Fernandez,Alvaro,M,"$      300,000.00","$           300,000.00",2010
1286,DAL,Ferreira,David,M-F,"$      300,000.00","$           300,000.00",2010
1287,RSL,Findley,Robert,F,"$        73,566.00","$             87,316.00",2010
1288,CHV,Flores,Jorge,F,"$        40,000.00","$             40,000.00",2010
1289,CLB,Francis,Shaun,D,"$        40,000.00","$             40,000.00",2010
1290,LA,Franklin,Sean,D,"$        73,535.00","$             87,285.00",2010
1291,TFC,Frei,Stefan,GK,"$        80,000.00","$           135,000.00",2010
1292,SEA,Fucito,Michael,MF,"$        40,000.00","$             40,000.00",2010
1293,TFC,Gala,Gabe,D-M,"$        40,000.00","$             40,000.00",2010
1294,CHV,Galindo,Maykel,F,"$        96,498.00","$             96,498.00",2010
1295,NY,Garcia,Irving,M,"$        40,000.00","$             40,000.00",2010
1296,TFC,Garcia,Nick,D,"$      190,000.00","$           198,750.00",2010
1297,CLB,Garey,Jason,F,"$        75,000.00","$             76,250.00",2010
1298,TFC,Gargan,Daniel,M,"$        40,000.00","$             40,000.00",2010
1299,CLB,Gaven,Eddie,M-F,"$      190,575.00","$           190,575.00",2010
1300,CHV,Gavin,Blair,M,"$        50,000.00","$             69,000.00",2010
1301,NE,Gibbs,Cory,D,"$      121,000.00","$           128,142.86",2010
1302,RSL,Gil,Luis,M,"$        85,500.00","$           180,583.33",2010
1303,SJ,Gjertsen,Joey,M,"$        65,000.00","$             73,625.00",2010
